Jurisdiction,Total Allocated Dosesas of Aug. 17,Total Requested Dosesas of Aug. 17,Total Shipped Dosesas of Aug. 17,Last Updated
All Jurisdictions,1082486,1035213,958413,2022-08-18 19:37
Alabama,5943,1283,1283,2022-08-18 19:37
Alaska,640,640,640,2022-08-18 19:37
American Samoa,20,20,20,2022-08-18 19:37
Arizona,14453,14533,14533,2022-08-18 19:37
Arkansas,3160,1760,1760,2022-08-18 19:37
California,109809,109909,109909,2022-08-18 19:37
California - Los Angeles,72142,72122,72122,2022-08-18 19:37
Colorado,18885,18885,18885,2022-08-18 19:37
Connecticut,6328,6328,6328,2022-08-18 19:37
Delaware,1895,1895,1895,2022-08-18 19:37
District of Columbia,33775,33855,21755,2022-08-18 19:37
Federated States of Micronesia,0,0,0,2022-08-18 19:37
Florida,109760,109760,109760,2022-08-18 19:37
Georgia,48042,38242,27542,2022-08-18 19:37
Guam,160,60,60,2022-08-18 19:37
Hawaii,4472,4472,4472,2022-08-18 19:37
Idaho,1900,1900,1900,2022-08-18 19:37
Illinois,20618,20618,20618,2022-08-18 19:37
Illinois - Chicago,54029,54109,54109,2022-08-18 19:37
Indiana,12052,12052,12052,2022-08-18 19:37
Iowa,2641,2641,2641,2022-08-18 19:37
Kansas,2276,2276,2276,2022-08-18 19:37
Kentucky,6380,6380,3580,2022-08-18 19:37
Louisiana,9362,9362,9362,2022-08-18 19:37
Maine,1451,1451,1451,2022-08-18 19:37
Mariana Islands,40,40,40,2022-08-18 19:37
Marshall Islands,0,0,0,2022-08-18 19:37
Maryland,21979,21979,12679,2022-08-18 19:37
Massachusetts,26551,26551,26551,2022-08-18 19:37
Michigan,13918,12918,12918,2022-08-18 19:37
Minnesota,10638,6038,6038,2022-08-18 19:37
Mississippi,2941,1541,1541,2022-08-18 19:37
Missouri,9413,5213,5213,2022-08-18 19:37
Montana,798,798,798,2022-08-18 19:37
Nebraska,1721,1721,1721,2022-08-18 19:37
Nevada,7322,7322,7322,2022-08-18 19:37
New Hampshire,1487,1187,787,2022-08-18 19:37
New Jersey,20029,20029,20029,2022-08-18 19:37
New Mexico,3596,1996,1996,2022-08-18 19:37
New York,46095,28295,28295,2022-08-18 19:37
New York - New York City,125904,125904,125904,2022-08-18 19:37
North Carolina,18448,18448,18448,2022-08-18 19:37
North Dakota,575,575,575,2022-08-18 19:37
Ohio,17893,17893,17893,2022-08-18 19:37
Oklahoma,5636,15236,4736,2022-08-18 19:37
Oregon,11938,11938,6838,2022-08-18 19:37
Palau,0,0,0,2022-08-18 19:37
Pennsylvania,17911,10311,10311,2022-08-18 19:37
Pennsylvania - Philadelphia,8390,8390,4790,2022-08-18 19:37
Puerto Rico,5107,2807,2807,2022-08-18 19:37
Rhode Island,3274,3274,3274,2022-08-18 19:37
South Carolina,6847,6847,3647,2022-08-18 19:37
South Dakota,511,291,291,2022-08-18 19:37
Tennessee,10762,10762,5762,2022-08-18 19:37
Texas,57394,57394,57394,2022-08-18 19:37
Texas - Houston,22226,22226,22226,2022-08-18 19:37
Tribal Entities,93,0,0,2022-08-18 19:37
U.S. Virgin Islands,260,260,160,2022-08-18 19:37
Utah,6449,6449,3949,2022-08-18 19:37
Vermont,426,426,426,2022-08-18 19:37
Virginia,22859,22859,22859,2022-08-18 19:37
Washington,24530,25310,13810,2022-08-18 19:37
West Virginia,1957,1057,1057,2022-08-18 19:37
Wisconsin,6014,6014,6014,2022-08-18 19:37
Wyoming,361,361,361,2022-08-18 19:37
